X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
31,	33,955	-11,657	-4,2073
31,	34,801	-8,8129	-5,6477
31,	35,41	-5,9089	-10,7
31,	35,777	-2,9646	-5,838
31,	35,9	3,4084e-014	-7,3901
31,	35,777	2,9646	-4,1258
31,	35,41	5,9089	-6,8091
31,	34,801	8,8129	-6,0794
31,	33,955	11,657	-5,6807
31,	32,876	14,421	-5,4066
31,	31,573	17,087	-4,6001
31,	30,054	19,635	-2,4439
31,	28,33	22,05	-3,7719
31,	26,412	24,314	-2,4078
31,	24,314	26,412	-2,2835
31,	22,05	28,33	-1,6057
31,	19,635	30,054	-0,8254
31,	17,087	31,573	-0,67466
31,	14,421	32,876	-0,26499
31,	11,657	33,955	-0,19519
31,	8,8129	34,801	-5,3192e-002
31,	5,9089	35,41	1,6127e-002
31,	2,9646	35,777	5,173e-002
31,	-4,597e-014	35,9	0,10513
31,	-2,9646	35,777	0,24053
31,	-5,9089	35,41	0,15384
31,	-8,8129	34,801	1,3674e-002
31,	-11,657	33,955	-0,17579
31,	-14,421	32,876	-1,2458
31,	-17,087	31,573	-2,7134
31,	-19,635	30,054	-2,2603
31,	-22,05	28,33	-2,0893
31,	-24,314	26,412	-2,5137
31,	-26,412	24,314	-2,4384
31,	-28,33	22,05	-2,5176
31,	-30,054	19,635	-2,0017
31,	-31,573	17,087	-2,5432
31,	-32,876	14,421	-1,9234
31,	-33,955	11,657	-2,4392
31,	-34,801	8,8129	-1,8414
31,	-35,41	5,9089	-1,9771
31,	-35,777	2,9646	-1,9932
31,	-35,9	-6,1573e-014	-2,0333
31,	-35,777	-2,9646	-1,8644
31,	-35,41	-5,9089	-1,9783
31,	-34,801	-8,8129	-2,1072
31,	-33,955	-11,657	-2,4581
31,	-32,876	-14,421	-2,3632
31,	-31,573	-17,087	-2,5818
31,	-30,054	-19,635	-2,1612
31,	-28,33	-22,05	-2,5015
31,	-26,412	-24,314	-2,4222
31,	-24,314	-26,412	-2,4625
31,	-22,05	-28,33	-1,6684
31,	-19,635	-30,054	-1,9139
31,	-17,087	-31,573	-2,8775
31,	-14,421	-32,876	-1,2986
31,	-11,657	-33,955	-0,10687
31,	-8,8129	-34,801	9,5917e-002
31,	-5,9089	-35,41	9,5741e-002
31,	-2,9646	-35,777	0,13719
31,	41,983	30,245	-0,37851
31,	41,983	-30,245	-0,33739
31,	41,983	25,592	-0,2705
31,	41,983	20,939	-0,17263
31,	41,983	16,286	-0,24864
31,	41,983	11,633	-0,30708
31,	41,983	6,9797	-0,20355
31,	41,983	2,3266	0,21535
31,	41,983	-2,3266	0,31512
31,	41,983	-6,9797	-0,19735
31,	41,983	-11,633	-0,1945
31,	41,983	-16,286	-0,17888
31,	41,983	-20,939	-0,23917
31,	41,983	-25,592	-0,26987
31,	38,81	-31,598	-0,2577
31,	5,3602	-36,509	2,7587e-002
31,	34,031	-32,299	-0,13269
31,	29,253	-33,001	-7,4578e-002
31,	24,474	-33,702	-2,5692e-002
31,	19,696	-34,404	-4,2394e-002
31,	14,917	-35,105	5,126e-002
31,	10,139	-35,807	-3,4371e-003
31,	-17,039	-32,731	-2,3771
31,	-12,82	-34,602	0,70917
31,	-8,4004	-35,931	0,39859
31,	-3,8497	-36,699	0,3015
31,	0,76119	-36,892	0,13504
31,	-43,404	-83,379	7,5595e-004
31,	-41,207	-79,158	-6,2653e-004
31,	-39,01	-74,938	-9,0507e-003
31,	-36,813	-70,717	-1,4913e-002
31,	-34,616	-66,496	-1,2937e-002
31,	-32,419	-62,276	-2,0626e-002
31,	-30,221	-58,055	-2,7293e-002
31,	-28,024	-53,834	-3,6275e-002
31,	-25,827	-49,613	-1,9392e-002
31,	-23,63	-45,393	-5,6744e-002
31,	-21,433	-41,172	-0,1924
31,	-19,236	-36,951	0,13293
31,	-43,404	83,379	6,6147e-005
31,	-47,675	-81,013	1,5243e-003
31,	-51,817	-78,428	8,2363e-004
31,	-55,819	-75,632	5,5996e-003
31,	-59,671	-72,632	4,7441e-003
31,	-63,361	-69,436	3,0615e-003
31,	-66,881	-66,052	2,5327e-003
31,	-70,22	-62,491	1,215e-003
31,	-73,37	-58,761	5,3453e-004
31,	-76,322	-54,872	1,0698e-003
31,	-79,068	-50,835	-2,2575e-004
31,	-81,601	-46,661	-2,6882e-004
31,	-83,914	-42,362	-1,0925e-003
31,	-86,	-37,948	8,9688e-004
31,	-87,854	-33,431	3,0604e-004
31,	-89,471	-28,825	-5,2956e-004
31,	-90,847	-24,14	1,5316e-003
31,	-91,978	-19,391	1,9604e-004
31,	-92,861	-14,589	5,5206e-004
31,	-93,493	-9,748	-2,9315e-004
31,	-93,873	-4,8806	1,2005e-003
31,	-94,	-7,6328e-014	8,1517e-004
31,	-93,873	4,8806	-4,0946e-004
31,	-93,493	9,748	4,7314e-004
31,	-92,861	14,589	-7,0439e-004
31,	-91,978	19,391	4,768e-004
31,	-90,847	24,14	-7,684e-004
31,	-89,471	28,825	1,1895e-003
31,	-87,854	33,431	3,8335e-004
31,	-86,	37,948	3,2153e-004
31,	-83,914	42,362	-1,7841e-005
31,	-81,601	46,661	-3,7016e-004
31,	-79,068	50,835	4,3496e-004
31,	-76,322	54,872	8,9708e-004
31,	-73,37	58,761	-1,8153e-004
31,	-70,22	62,491	2,265e-003
31,	-66,881	66,052	2,893e-003
31,	-63,361	69,436	2,8429e-003
31,	-59,671	72,632	5,2256e-003
31,	-55,819	75,632	1,7783e-003
31,	-51,817	78,428	4,4052e-003
31,	-47,675	81,013	2,3457e-003
31,	-17,039	32,731	-0,8338
31,	-41,207	79,158	-1,7001e-003
31,	-39,01	74,938	-1,1809e-002
31,	-36,813	70,717	-1,1914e-002
31,	-34,616	66,496	-1,4775e-002
31,	-32,419	62,276	-1,9586e-002
31,	-30,221	58,055	-2,496e-002
31,	-28,024	53,834	-1,2786e-002
31,	-25,827	49,613	-4,7643e-002
31,	-23,63	45,393	-6,6306e-002
31,	-21,433	41,172	-8,2439e-002
31,	-19,236	36,951	-3,6613e-003
31,	5,3602	36,509	2,9583e-002
31,	0,76119	36,892	0,11119
31,	-3,8497	36,699	0,28876
31,	-8,4004	35,931	0,27845
31,	-12,82	34,602	0,20274
31,	38,81	31,598	-0,2314
31,	34,031	32,299	-0,13674
31,	29,253	33,001	-0,12272
31,	24,474	33,702	8,7556e-002
31,	19,696	34,404	3,3642e-002
31,	14,917	35,105	3,212e-002
31,	10,139	35,807	-1,1702e-002
51,	47,5	-29,	0,34612
51,	44,518	-28,846	0,34573
51,	41,568	-28,387	0,54568
51,	38,681	-27,626	0,77707
51,	35,887	-26,573	1,3061
51,	33,216	-25,238	2,3061
51,	30,697	-23,636	2,3859
51,	28,356	-21,783	3,3986
51,	26,217	-19,699	4,7428
51,	24,305	-17,406	5,3164
51,	22,638	-14,929	8,1343
51,	21,235	-12,294	7,165
51,	20,11	-9,5277	8,2901
51,	19,275	-6,6609	8,251
51,	18,74	-3,7236	9,0381
51,	18,51	-0,74669	9,6682
51,	18,586	2,2381	7,6106
51,	18,97	5,1991	8,7688
51,	19,656	8,1051	8,6044
51,	20,637	10,925	8,0369
51,	21,902	13,629	5,7669
51,	23,439	16,189	8,3563
51,	25,231	18,577	5,8059
51,	27,26	20,768	4,6317
51,	29,502	22,739	2,7249
51,	31,936	24,469	1,8471
51,	34,534	25,94	1,4843
51,	37,27	27,136	0,86259
51,	40,115	28,044	0,51396
51,	43,037	28,655	0,62721
51,	46,007	28,962	0,31899
51,	48,993	28,962	0,14691
51,	51,963	28,655	7,6037e-002
51,	54,885	28,044	7,6008e-002
51,	57,73	27,136	-3,5846e-002
51,	60,466	25,94	-2,2938e-002
51,	63,064	24,469	-2,8276e-002
51,	65,498	22,739	-2,5401e-002
51,	67,74	20,768	-3,0864e-002
51,	69,769	18,577	-1,4178e-002
51,	71,561	16,189	-1,9368e-003
51,	73,098	13,629	-7,6399e-003
51,	74,363	10,925	-1,1132e-002
51,	75,344	8,1051	-1,6162e-002
51,	76,03	5,1991	-1,5474e-002
51,	76,414	2,2381	-1,3027e-002
51,	76,49	-0,74669	-1,7313e-002
51,	76,26	-3,7236	-1,8204e-002
51,	75,725	-6,6609	-1,5317e-002
51,	74,89	-9,5277	-7,716e-003
51,	73,765	-12,294	-1,8479e-002
51,	72,362	-14,929	-6,4922e-002
51,	70,695	-17,406	-1,0521e-002
51,	68,783	-19,699	-2,3103e-002
51,	66,644	-21,783	-2,8476e-002
51,	64,303	-23,636	-1,0825e-002
51,	61,784	-25,238	1,8081e-002
51,	59,113	-26,573	-3,5967e-004
51,	56,319	-27,626	-2,4594e-002
51,	53,432	-28,387	7,9804e-002
51,	50,482	-28,846	7,0444e-002
51,	-43,404	-83,379	1,5397e-003
51,	-17,039	-32,731	0,23269
51,	-41,207	-79,158	2,8112e-003
51,	-39,01	-74,938	9,8063e-003
51,	-36,813	-70,717	7,9054e-003
51,	-34,616	-66,496	1,6289e-002
51,	-32,419	-62,276	2,0015e-002
51,	-30,221	-58,055	1,6439e-002
51,	-28,024	-53,834	2,2175e-002
51,	-25,827	-49,613	1,5789e-002
51,	-23,63	-45,393	5,6967e-002
51,	-21,433	-41,172	1,2461e-002
51,	-19,236	-36,951	-0,48787
51,	5,3602	-36,509	1,3355e-002
51,	-12,82	-34,602	1,0805
51,	-8,4004	-35,931	5,627e-002
51,	-3,8497	-36,699	5,1634e-002
51,	0,76119	-36,892	6,322e-002
51,	51,858	-29,682	-3,0512e-002
51,	47,208	-30,364	-0,13006
51,	42,558	-31,047	-0,39624
51,	37,909	-31,73	-0,51784
51,	33,259	-32,413	-0,61406
51,	28,609	-33,095	-0,28757
51,	23,959	-33,778	-9,8325e-002
51,	19,31	-34,461	1,686e-002
51,	14,66	-35,143	7,4402e-002
51,	10,01	-35,826	5,2219e-002
51,	51,858	29,682	-2,8729e-002
51,	56,483	-28,623	-0,10198
51,	60,884	-26,849	-0,12813
51,	64,95	-24,403	-0,11267
51,	68,58	-21,346	-6,0352e-002
51,	71,682	-17,755	1,1936e-002
51,	74,179	-13,72	3,0747e-003
51,	76,008	-9,3421	8,488e-003
51,	77,125	-4,7302	2,8423e-004
51,	77,5	-1,7347e-015	-1,2991e-003
51,	77,125	4,7302	4,6952e-005
51,	76,008	9,3421	8,76e-003
51,	74,179	13,72	1,4024e-002
51,	71,682	17,755	6,4401e-003
51,	68,58	21,346	-7,0735e-002
51,	64,95	24,403	-0,1225
51,	60,884	26,849	-0,14482
51,	56,483	28,623	-0,10226
51,	5,3602	36,509	2,8173e-002
51,	47,208	30,364	-0,12359
51,	42,558	31,047	-0,38719
51,	37,909	31,73	-0,50349
51,	33,259	32,413	-0,54377
51,	28,609	33,095	-0,2357
51,	23,959	33,778	1,8886e-002
51,	19,31	34,461	6,1476e-003
51,	14,66	35,143	8,627e-002
51,	10,01	35,826	3,1232e-002
51,	-17,039	32,731	-3,798e-002
51,	0,76119	36,892	6,3032e-002
51,	-3,8497	36,699	0,12982
51,	-8,4004	35,931	0,43977
51,	-12,82	34,602	0,80749
51,	-43,404	83,379	8,7222e-004
51,	-41,207	79,158	3,7126e-003
51,	-39,01	74,938	9,87e-003
51,	-36,813	70,717	1,3853e-002
51,	-34,616	66,496	1,2926e-002
51,	-32,419	62,276	1,3458e-002
51,	-30,221	58,055	1,3783e-002
51,	-28,024	53,834	2,0691e-003
51,	-25,827	49,613	4,3731e-002
51,	-23,63	45,393	-1,363e-002
51,	-21,433	41,172	4,0791e-002
51,	-19,236	36,951	-0,29204
51,	-47,675	-81,013	1,011e-004
51,	-51,817	-78,428	-3,2139e-003
51,	-55,819	-75,632	-2,0255e-003
51,	-59,671	-72,632	-6,6487e-003
51,	-63,361	-69,436	-1,8879e-003
51,	-66,881	-66,052	-4,555e-003
51,	-70,22	-62,491	-3,7803e-003
51,	-73,37	-58,761	-2,8902e-003
51,	-76,322	-54,872	-3,2922e-003
51,	-79,068	-50,835	-1,0771e-003
51,	-81,601	-46,661	-1,1752e-003
51,	-83,914	-42,362	-2,3335e-004
51,	-86,	-37,948	-4,5665e-004
51,	-87,854	-33,431	-1,1545e-003
51,	-89,471	-28,825	-5,4442e-004
51,	-90,847	-24,14	-9,7701e-004
51,	-91,978	-19,391	-6,555e-004
51,	-92,861	-14,589	-7,3008e-005
51,	-93,493	-9,748	-7,4678e-004
51,	-93,873	-4,8806	-2,7682e-004
51,	-94,	-7,6328e-014	-9,2811e-004
51,	-93,873	4,8806	-6,5514e-004
51,	-93,493	9,748	-1,3345e-003
51,	-92,861	14,589	-9,5395e-004
51,	-91,978	19,391	-6,4048e-004
51,	-90,847	24,14	-9,3231e-004
51,	-89,471	28,825	-2,186e-003
51,	-87,854	33,431	-1,4017e-003
51,	-86,	37,948	-1,2944e-003
51,	-83,914	42,362	-1,7542e-003
51,	-81,601	46,661	-3,3568e-004
51,	-79,068	50,835	-1,2647e-003
51,	-76,322	54,872	-1,7727e-003
51,	-73,37	58,761	-2,0764e-003
51,	-70,22	62,491	-3,7385e-003
51,	-66,881	66,052	-3,6917e-003
51,	-63,361	69,436	-4,7944e-003
51,	-59,671	72,632	-7,805e-003
51,	-55,819	75,632	-8,0146e-003
51,	-51,817	78,428	-3,4194e-003
51,	-47,675	81,013	-2,4399e-003
46,	5,3602	-36,509	0,67192
41,	5,3602	-36,509	0,92864
36,	5,3602	-36,509	0,66856
36,	-17,039	-32,731	0,27204
41,	-17,039	-32,731	0,72005
46,	-17,039	-32,731	1,4774
38,533	51,858	-29,682	-0,78858
32,883	42,072	-31,119	-1,1887
34,767	45,334	-30,64	-1,2404
36,65	48,596	-30,161	-1,0739
46,844	51,858	-29,682	-0,55267
42,689	51,858	-29,682	-0,9459
48,	69,426	-20,476	6,7547e-002
40,615	55,72	-28,852	-0,41502
42,635	59,469	-27,509	-0,13412
44,562	63,046	-25,658	-5,2444e-002
46,363	66,388	-23,308	7,3722e-002
48,	69,426	20,476	6,1667e-002
48,	72,244	-16,963	5,9569e-002
48,	74,504	-13,069	3,8058e-002
48,	76,156	-8,8795	2,1894e-002
48,	77,162	-4,4903	6,4339e-003
48,	77,5	0,	2,0159e-003
48,	77,162	4,4903	6,7077e-003
48,	76,156	8,8795	2,0659e-002
48,	74,504	13,069	4,3907e-002
48,	72,244	16,963	6,8664e-002
38,533	51,858	29,682	-0,77617
46,363	66,388	23,308	9,0865e-002
44,562	63,046	25,658	-3,9631e-002
42,635	59,469	27,509	-0,18872
40,615	55,72	28,852	-0,45328
46,844	51,858	29,682	-0,54709
42,689	51,858	29,682	-0,9319
36,65	48,596	30,161	-1,0964
34,767	45,334	30,64	-1,2568
32,883	42,072	31,119	-1,1967
46,	5,3602	36,509	0,71276
41,	5,3602	36,509	0,92855
36,	5,3602	36,509	0,69796
46,	-17,039	32,731	1,5355
41,	-17,039	32,731	0,82853
36,	-17,039	32,731	6,755e-002
46,	-43,404	83,379	-2,8698e-004
41,	-43,404	83,379	-2,2321e-003
36,	-43,404	83,379	-2,2081e-003
46,	-43,404	-83,379	9,9722e-004
41,	-43,404	-83,379	-2,214e-003
