X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
31,	32,876	-14,421	-5,6786
31,	33,955	-11,657	-4,9448
31,	34,801	-8,8129	-6,763
31,	35,41	-5,9089	-12,86
31,	35,777	-2,9646	-7,1283
31,	35,9	3,4084e-014	-9,0147
31,	35,777	2,9646	-5,0779
31,	35,41	5,9089	-8,3109
31,	34,801	8,8129	-7,3476
31,	33,955	11,657	-6,7659
31,	32,876	14,421	-6,3135
31,	31,573	17,087	-5,1957
31,	30,054	19,635	-2,6629
31,	28,33	22,05	-3,8751
31,	26,412	24,314	-2,3373
31,	24,314	26,412	-2,0974
31,	22,05	28,33	-1,306
31,	19,635	30,054	-0,64718
31,	17,087	31,573	-0,4307
31,	14,421	32,876	-0,14129
31,	11,657	33,955	-6,8827e-002
31,	8,8129	34,801	3,0088e-002
31,	5,9089	35,41	7,1626e-002
31,	2,9646	35,777	8,2681e-002
31,	-4,597e-014	35,9	0,12772
31,	-2,9646	35,777	0,28839
31,	-5,9089	35,41	0,20607
31,	-8,8129	34,801	1,4545e-002
31,	-11,657	33,955	-0,16931
31,	-14,421	32,876	-1,2167
31,	-17,087	31,573	-2,726
31,	-19,635	30,054	-2,2879
31,	-22,05	28,33	-2,1081
31,	-24,314	26,412	-2,5712
31,	-26,412	24,314	-2,5006
31,	-28,33	22,05	-2,5685
31,	-30,054	19,635	-2,0515
31,	-31,573	17,087	-2,616
31,	-32,876	14,421	-1,9733
31,	-33,955	11,657	-2,5019
31,	-34,801	8,8129	-1,9039
31,	-35,41	5,9089	-2,0398
31,	-35,777	2,9646	-2,0536
31,	-35,9	-6,1573e-014	-2,0905
31,	-35,777	-2,9646	-1,9214
31,	-35,41	-5,9089	-2,0466
31,	-34,801	-8,8129	-2,1768
31,	-33,955	-11,657	-2,5351
31,	-32,876	-14,421	-2,4394
31,	-31,573	-17,087	-2,6717
31,	-30,054	-19,635	-2,232
31,	-28,33	-22,05	-2,5896
31,	-26,412	-24,314	-2,5066
31,	-24,314	-26,412	-2,5353
31,	-22,05	-28,33	-1,7181
31,	-19,635	-30,054	-1,9691
31,	-17,087	-31,573	-2,9484
31,	-14,421	-32,876	-1,325
31,	-11,657	-33,955	-0,1205
31,	-8,8129	-34,801	9,5372e-002
31,	-5,9089	-35,41	0,10603
31,	-2,9646	-35,777	0,17155
31,	41,983	30,245	-0,57541
31,	41,983	-30,245	-0,46234
31,	41,983	25,592	-0,37155
31,	41,983	20,939	-0,20406
31,	41,983	16,286	-0,262
31,	41,983	11,633	-0,31905
31,	41,983	6,9797	-0,21071
31,	41,983	2,3266	0,29299
31,	41,983	-2,3266	0,41297
31,	41,983	-6,9797	-0,22212
31,	41,983	-11,633	-0,21314
31,	41,983	-16,286	-0,20284
31,	41,983	-20,939	-0,28519
31,	41,983	-25,592	-0,36931
31,	38,81	-31,598	-0,1879
31,	5,3602	-36,509	5,5765e-002
31,	34,031	-32,299	7,9348e-002
31,	29,253	-33,001	0,24371
31,	24,474	-33,702	0,24232
31,	19,696	-34,404	0,13459
31,	14,917	-35,105	9,7516e-002
31,	10,139	-35,807	5,2827e-002
31,	-17,039	-32,731	-2,4462
31,	-12,82	-34,602	0,71633
31,	-8,4004	-35,931	0,4272
31,	-3,8497	-36,699	0,36166
31,	0,76119	-36,892	0,18348
31,	-43,404	-83,379	7,8636e-004
31,	-41,207	-79,158	-5,6805e-004
31,	-39,01	-74,938	-9,0734e-003
31,	-36,813	-70,717	-1,4943e-002
31,	-34,616	-66,496	-1,2942e-002
31,	-32,419	-62,276	-2,0662e-002
31,	-30,221	-58,055	-2,7345e-002
31,	-28,024	-53,834	-3,6406e-002
31,	-25,827	-49,613	-1,9113e-002
31,	-23,63	-45,393	-5,7496e-002
31,	-21,433	-41,172	-0,19396
31,	-19,236	-36,951	0,12772
31,	-43,404	83,379	1,0751e-004
31,	-47,675	-81,013	1,5323e-003
31,	-51,817	-78,428	8,1347e-004
31,	-55,819	-75,632	5,5621e-003
31,	-59,671	-72,632	4,694e-003
31,	-63,361	-69,436	2,9774e-003
31,	-66,881	-66,052	2,4364e-003
31,	-70,22	-62,491	1,1444e-003
31,	-73,37	-58,761	4,4256e-004
31,	-76,322	-54,872	9,4988e-004
31,	-79,068	-50,835	-3,0561e-004
31,	-81,601	-46,661	-3,7768e-004
31,	-83,914	-42,362	-1,1367e-003
31,	-86,	-37,948	8,0553e-004
31,	-87,854	-33,431	2,3052e-004
31,	-89,471	-28,825	-5,9749e-004
31,	-90,847	-24,14	1,4677e-003
31,	-91,978	-19,391	1,4335e-004
31,	-92,861	-14,589	5,191e-004
31,	-93,493	-9,748	-3,2126e-004
31,	-93,873	-4,8806	1,1785e-003
31,	-94,	-7,6328e-014	7,7215e-004
31,	-93,873	4,8806	-4,5279e-004
31,	-93,493	9,748	4,4989e-004
31,	-92,861	14,589	-7,1877e-004
31,	-91,978	19,391	4,526e-004
31,	-90,847	24,14	-8,1371e-004
31,	-89,471	28,825	1,1541e-003
31,	-87,854	33,431	3,4529e-004
31,	-86,	37,948	2,8575e-004
31,	-83,914	42,362	-5,1234e-005
31,	-81,601	46,661	-4,1861e-004
31,	-79,068	50,835	4,0532e-004
31,	-76,322	54,872	8,5105e-004
31,	-73,37	58,761	-2,4379e-004
31,	-70,22	62,491	2,236e-003
31,	-66,881	66,052	2,8519e-003
31,	-63,361	69,436	2,8018e-003
31,	-59,671	72,632	5,1704e-003
31,	-55,819	75,632	1,7655e-003
31,	-51,817	78,428	4,3862e-003
31,	-47,675	81,013	2,3472e-003
31,	-17,039	32,731	-0,85051
31,	-41,207	79,158	-1,6674e-003
31,	-39,01	74,938	-1,1853e-002
31,	-36,813	70,717	-1,2019e-002
31,	-34,616	66,496	-1,4866e-002
31,	-32,419	62,276	-1,9783e-002
31,	-30,221	58,055	-2,5213e-002
31,	-28,024	53,834	-1,3127e-002
31,	-25,827	49,613	-4,8196e-002
31,	-23,63	45,393	-6,8246e-002
31,	-21,433	41,172	-8,5692e-002
31,	-19,236	36,951	-1,1265e-002
31,	5,3602	36,509	5,5682e-002
31,	0,76119	36,892	0,11898
31,	-3,8497	36,699	0,33805
31,	-8,4004	35,931	0,3246
31,	-12,82	34,602	0,21502
31,	38,81	31,598	-0,20258
31,	34,031	32,299	3,3432e-002
31,	29,253	33,001	0,16547
31,	24,474	33,702	0,32075
31,	19,696	34,404	0,17925
31,	14,917	35,105	8,5154e-002
31,	10,139	35,807	5,6872e-002
51,	47,5	-29,	0,735
51,	44,518	-28,846	0,85915
51,	41,568	-28,387	1,4377
51,	38,681	-27,626	2,0623
51,	35,887	-26,573	2,7113
51,	33,216	-25,238	4,1001
51,	30,697	-23,636	3,4829
51,	28,356	-21,783	4,3878
51,	26,217	-19,699	5,464
51,	24,305	-17,406	5,7212
51,	22,638	-14,929	8,6576
51,	21,235	-12,294	7,3387
51,	20,11	-9,5277	8,4874
51,	19,275	-6,6609	8,2309
51,	18,74	-3,7236	8,9377
51,	18,51	-0,74669	9,7175
51,	18,586	2,2381	7,575
51,	18,97	5,1991	8,8081
51,	19,656	8,1051	8,688
51,	20,637	10,925	8,1695
51,	21,902	13,629	5,9537
51,	23,439	16,189	9,0351
51,	25,231	18,577	6,8644
51,	27,26	20,768	6,2282
51,	29,502	22,739	4,2307
51,	31,936	24,469	3,1289
51,	34,534	25,94	3,0167
51,	37,27	27,136	2,0254
51,	40,115	28,044	1,2175
51,	43,037	28,655	1,4634
