X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
43,032	63,359	-1,837e-016	0,40499
42,282	62,06	-1,5	-4,4418e-002
41,532	60,761	2,7733e-032	0,18813
42,282	62,06	1,5	-3,8244e-002
42,812	62,978	-1,0607	0,55302
41,751	61,141	-1,0607	9,0582e-002
41,751	61,141	1,0607	9,4352e-002
42,812	62,978	1,0607	0,58413
121,75	17,911	0,	-1,323
120,25	15,313	0,	-1,6931
119,7	17,362	1,5	0,89372
120,73	18,088	0,96898	0,47213
119,59	16,105	0,96898	-3,4075
119,7	17,362	-1,5	1,9121
119,59	16,105	-0,96898	-4,0362
120,73	18,088	-0,96898	0,19862
29,	-4,1516e-015	-33,9	0,31393
29,	-2,9961	-33,767	-0,36056
29,	-5,9687	-33,37	-1,4086
29,	-8,8946	-32,712	-2,1727
29,	-11,751	-31,798	-1,8851
29,	-14,515	-30,635	-2,7283
29,	-17,166	-29,232	-4,2621
29,	-19,682	-27,601	-2,4362
29,	-22,045	-25,753	-3,9825
29,	-24,235	-23,704	-7,0813
29,	-26,235	-21,47	-2,5318
29,	-28,03	-19,067	-5,9252
29,	-29,605	-16,515	-5,3637
29,	-30,949	-13,834	-5,9422
29,	-32,05	-11,045	-3,6005
29,	-32,901	-8,1688	-3,5833
29,	-33,494	-5,229	-6,5271
29,	-33,825	-2,2483	-4,1936
29,	-33,892	0,74994	-6,0626
29,	-33,693	3,7424	-4,2242
29,	-33,23	6,7055	-5,0735
29,	-32,508	9,6161	-3,4696
29,	-31,53	12,452	-7,2429
29,	-30,307	15,189	-4,9094
29,	-28,846	17,809	-2,8555
29,	-27,159	20,288	-3,8314
29,	-25,259	22,609	-5,0633
29,	-23,162	24,753	-4,832
29,	-20,884	26,703	-4,744
29,	-18,442	28,445	-4,8394
29,	-15,856	29,963	-3,0341
29,	-13,146	31,247	-2,0603
29,	-10,333	32,287	-0,93347
29,	-7,439	33,074	-1,9235
29,	-4,4868	33,602	-1,5464
29,	-1,4995	33,867	0,3175
29,	1,4995	33,867	0,2498
29,	4,4868	33,602	5,2962e-002
29,	7,439	33,074	-0,19715
29,	10,333	32,287	-0,6784
29,	13,146	31,247	-1,1623
29,	15,856	29,963	-1,617
29,	18,442	28,445	-2,52
29,	20,884	26,703	-3,3523
29,	23,162	24,753	-2,676
29,	25,259	22,609	-4,1143
29,	27,159	20,288	-3,1394
29,	28,846	17,809	-4,1048
29,	30,307	15,189	-4,0915
29,	31,53	12,452	-2,743
29,	32,508	9,6161	-5,6926
29,	33,23	6,7055	-5,3969
29,	33,693	3,7424	-4,1585
29,	33,892	0,74994	-5,1409
29,	33,825	-2,2483	-4,0029
29,	33,494	-5,229	-4,602
29,	32,901	-8,1688	-3,7815
29,	32,05	-11,045	-2,8734
29,	30,949	-13,834	-4,4317
29,	29,605	-16,515	-1,7007
29,	28,03	-19,067	-3,1317
29,	26,235	-21,47	-2,844
29,	24,235	-23,704	-4,9008
29,	22,045	-25,753	-2,7838
29,	19,682	-27,601	-2,5656
29,	17,166	-29,232	-1,8533
29,	14,515	-30,635	-1,6628
29,	11,751	-31,798	-1,022
29,	8,8946	-32,712	-0,53735
29,	5,9687	-33,37	-0,11018
29,	2,9961	-33,767	0,12298
0,	4,1516e-015	-33,9	-1,2788
0,	4,9359	-33,539	-1,1051
0,	9,7666	-32,463	-0,94595
0,	14,389	-30,695	-0,64914
0,	18,705	-28,273	-0,39703
0,	22,622	-25,248	-0,13659
0,	26,057	-21,685	1,8463e-002
0,	28,937	-17,66	0,11653
0,	31,2	-13,258	0,12451
0,	32,798	-8,5744	0,1098
0,	33,697	-3,7077	0,12001
0,	33,877	1,2381	0,11571
0,	33,336	6,1575	6,9183e-002
0,	32,084	10,946	0,15152
0,	30,149	15,501	0,13845
0,	27,571	19,725	6,82e-002
0,	24,405	23,529	-4,2253e-002
0,	20,719	26,832	-0,27526
0,	16,591	29,562	-0,51798
0,	12,11	31,663	-0,8286
0,	7,3709	33,089	-1,0339
0,	2,4745	33,81	-1,2093
0,	-2,4745	33,81	-1,2275
0,	-7,3709	33,089	-1,5767
0,	-12,11	31,663	-1,7817
0,	-16,591	29,562	-1,896
0,	-20,719	26,832	-1,7759
0,	-24,405	23,529	-1,4608
0,	-27,571	19,725	-1,5394
0,	-30,149	15,501	-1,9035
0,	-32,084	10,946	-1,9911
0,	-33,336	6,1575	-2,0356
0,	-33,877	1,2381	-1,7953
0,	-33,697	-3,7077	-2,1525
0,	-32,798	-8,5744	-1,9003
0,	-31,2	-13,258	-2,2263
0,	-28,937	-17,66	-1,7248
0,	-26,057	-21,685	-1,6803
0,	-22,622	-25,248	-1,6869
0,	-18,705	-28,273	-1,721
0,	-14,389	-30,695	-1,8102
0,	-9,7666	-32,463	-1,7477
0,	-4,9359	-33,539	-1,1563
31,	4,3965e-015	-35,9	0,14763
31,	2,9646	-35,777	-0,24922
31,	5,9089	-35,41	-0,77407
31,	8,8129	-34,801	-1,501
31,	11,657	-33,955	-2,5183
31,	14,421	-32,876	-3,6923
31,	17,087	-31,573	-5,1218
31,	19,635	-30,054	-6,9893
31,	22,05	-28,33	-8,789
31,	24,314	-26,412	-10,274
31,	26,412	-24,314	-12,281
31,	28,33	-22,05	-15,914
31,	30,054	-19,635	-15,129
31,	31,573	-17,087	-16,684
31,	32,876	-14,421	-18,521
31,	33,955	-11,657	-18,754
31,	34,801	-8,8129	-20,247
31,	35,41	-5,9089	-22,897
31,	35,777	-2,9646	-19,629
31,	35,9	3,4084e-014	-20,149
31,	35,777	2,9646	-20,007
31,	35,41	5,9089	-20,506
31,	34,801	8,8129	-20,347
31,	33,955	11,657	-19,06
31,	32,876	14,421	-19,401
31,	31,573	17,087	-17,531
31,	30,054	19,635	-15,702
31,	28,33	22,05	-14,655
31,	26,412	24,314	-11,539
31,	24,314	26,412	-10,393
31,	22,05	28,33	-8,5569
31,	19,635	30,054	-6,7009
31,	17,087	31,573	-5,0641
31,	14,421	32,876	-3,7304
31,	11,657	33,955	-2,3888
31,	8,8129	34,801	-1,4759
31,	5,9089	35,41	-0,75541
31,	2,9646	35,777	-0,24869
31,	-4,597e-014	35,9	0,13593
31,	-2,9646	35,777	0,54461
31,	-5,9089	35,41	0,89417
31,	-8,8129	34,801	1,6997
31,	-11,657	33,955	3,6342
31,	-14,421	32,876	8,7471
31,	-17,087	31,573	15,492
31,	-19,635	30,054	13,681
31,	-22,05	28,33	12,242
31,	-24,314	26,412	14,182
31,	-26,412	24,314	13,012
31,	-28,33	22,05	12,657
31,	-30,054	19,635	12,373
31,	-31,573	17,087	12,173
31,	-32,876	14,421	11,893
31,	-33,955	11,657	12,111
31,	-34,801	8,8129	11,876
31,	-35,41	5,9089	11,9
31,	-35,777	2,9646	12,02
31,	-35,9	-6,1573e-014	12,456
31,	-35,777	-2,9646	11,993
31,	-35,41	-5,9089	11,735
31,	-34,801	-8,8129	11,896
31,	-33,955	-11,657	12,106
31,	-32,876	-14,421	12,537
31,	-31,573	-17,087	12,181
31,	-30,054	-19,635	12,689
31,	-28,33	-22,05	12,54
31,	-26,412	-24,314	13,159
31,	-24,314	-26,412	13,715
31,	-22,05	-28,33	12,888
31,	-19,635	-30,054	12,876
31,	-17,087	-31,573	15,859
31,	-14,421	-32,876	8,9335
31,	-11,657	-33,955	3,5627
31,	-8,8129	-34,801	1,8069
31,	-5,9089	-35,41	0,88002
31,	-2,9646	-35,777	0,52866
31,	41,983	30,245	-1,3441
31,	41,983	-30,245	-1,4482
31,	41,983	25,592	-1,3808
31,	41,983	20,939	-1,2785
31,	41,983	16,286	-1,6375
31,	41,983	11,633	-1,6924
31,	41,983	6,9797	-1,7009
31,	41,983	2,3266	-1,3701
31,	41,983	-2,3266	-1,7545
31,	41,983	-6,9797	-1,485
31,	41,983	-11,633	-1,6166
31,	41,983	-16,286	-1,4648
31,	41,983	-20,939	-1,4219
31,	41,983	-25,592	-1,4741
31,	38,81	-31,598	-2,894
31,	5,3602	-36,509	-0,79423
31,	34,031	-32,299	-4,6405
31,	29,253	-33,001	-5,3246
31,	24,474	-33,702	-5,65
31,	19,696	-34,404	-5,047
31,	14,917	-35,105	-3,6903
31,	10,139	-35,807	-2,0057
31,	-17,039	-32,731	28,392
31,	-12,82	-34,602	1,5447
31,	-8,4004	-35,931	0,84797
31,	-3,8497	-36,699	0,43136
31,	0,76119	-36,892	-0,10501
31,	-43,404	-83,379	2,1813e-003
31,	-41,207	-79,158	0,11568
31,	-39,01	-74,938	0,19878
31,	-36,813	-70,717	0,31487
31,	-34,616	-66,496	0,39857
31,	-32,419	-62,276	0,48541
31,	-30,221	-58,055	0,58454
31,	-28,024	-53,834	0,7136
31,	-25,827	-49,613	0,7107
31,	-23,63	-45,393	1,0124
31,	-21,433	-41,172	0,98515
31,	-19,236	-36,951	2,377
31,	-43,404	83,379	1,9976e-003
31,	-47,675	-81,013	-3,9232e-002
31,	-51,817	-78,428	-0,13938
31,	-55,819	-75,632	-0,21294
31,	-59,671	-72,632	-0,29402
31,	-63,361	-69,436	-0,33986
31,	-66,881	-66,052	-0,36448
31,	-70,22	-62,491	-0,36973
31,	-73,37	-58,761	-0,36476
31,	-76,322	-54,872	-0,33713
31,	-79,068	-50,835	-0,29853
31,	-81,601	-46,661	-0,26407
31,	-83,914	-42,362	-0,21907
31,	-86,	-37,948	-0,17725
31,	-87,854	-33,431	-0,13641
31,	-89,471	-28,825	-0,10545
31,	-90,847	-24,14	-6,6149e-002
31,	-91,978	-19,391	-4,705e-002
31,	-92,861	-14,589	-2,2995e-002
31,	-93,493	-9,748	-1,222e-002
31,	-93,873	-4,8806	4,7879e-003
31,	-94,	-7,6328e-014	4,3462e-003
31,	-93,873	4,8806	-3,0984e-003
31,	-93,493	9,748	-4,8557e-003
31,	-92,861	14,589	-1,9788e-002
31,	-91,978	19,391	-4,6368e-002
31,	-90,847	24,14	-7,2769e-002
31,	-89,471	28,825	-0,10013
31,	-87,854	33,431	-0,13487
31,	-86,	37,948	-0,18222
31,	-83,914	42,362	-0,2182
31,	-81,601	46,661	-0,26381
31,	-79,068	50,835	-0,29655
31,	-76,322	54,872	-0,33687
31,	-73,37	58,761	-0,35846
31,	-70,22	62,491	-0,37033
31,	-66,881	66,052	-0,35886
31,	-63,361	69,436	-0,3359
31,	-59,671	72,632	-0,28544
31,	-55,819	75,632	-0,21438
31,	-51,817	78,428	-0,12851
31,	-47,675	81,013	-4,0003e-002
31,	-17,039	32,731	26,205
31,	-41,207	79,158	0,11395
31,	-39,01	74,938	0,21298
31,	-36,813	70,717	0,3154
31,	-34,616	66,496	0,38401
31,	-32,419	62,276	0,4859
31,	-30,221	58,055	0,5853
31,	-28,024	53,834	0,69013
31,	-25,827	49,613	0,78186
31,	-23,63	45,393	1,0466
31,	-21,433	41,172	1,163
31,	-19,236	36,951	2,2779
31,	5,3602	36,509	-0,7671
31,	0,76119	36,892	-0,11675
31,	-3,8497	36,699	0,32078
31,	-8,4004	35,931	0,83022
31,	-12,82	34,602	2,9633
31,	38,81	31,598	-2,8175
31,	34,031	32,299	-4,6245
31,	29,253	33,001	-5,4824
31,	24,474	33,702	-5,3895
31,	19,696	34,404	-5,0425
31,	14,917	35,105	-3,6876
31,	10,139	35,807	-2,0008
51,	47,5	-29,	5,2149
51,	44,518	-28,846	6,8426
51,	41,568	-28,387	8,5782
51,	38,681	-27,626	10,758
51,	35,887	-26,573	12,885
51,	33,216	-25,238	16,334
51,	30,697	-23,636	19,904
51,	28,356	-21,783	22,935
51,	26,217	-19,699	25,98
51,	24,305	-17,406	27,765
51,	22,638	-14,929	28,54
51,	21,235	-12,294	33,69
51,	20,11	-9,5277	36,225
51,	19,275	-6,6609	39,807
51,	18,74	-3,7236	42,129
51,	18,51	-0,74669	42,95
51,	18,586	2,2381	41,854
51,	18,97	5,1991	39,641
51,	19,656	8,1051	40,698
51,	20,637	10,925	36,361
51,	21,902	13,629	33,644
51,	23,439	16,189	33,454
51,	25,231	18,577	27,226
51,	27,26	20,768	23,657
51,	29,502	22,739	21,025
51,	31,936	24,469	17,651
51,	34,534	25,94	14,568
51,	37,27	27,136	11,733
51,	40,115	28,044	9,6097
51,	43,037	28,655	7,6032
51,	46,007	28,962	6,0365
51,	48,993	28,962	4,5833
51,	51,963	28,655	3,4401
51,	54,885	28,044	2,4847
51,	57,73	27,136	1,924
51,	60,466	25,94	1,4171
51,	63,064	24,469	0,94788
51,	65,498	22,739	0,64179
51,	67,74	20,768	0,42056
51,	69,769	18,577	0,26303
51,	71,561	16,189	0,19632
51,	73,098	13,629	0,16366
51,	74,363	10,925	0,1415
51,	75,344	8,1051	0,12285
51,	76,03	5,1991	0,11999
51,	76,414	2,2381	0,11132
51,	76,49	-0,74669	0,11212
51,	76,26	-3,7236	0,10774
51,	75,725	-6,6609	0,11086
51,	74,89	-9,5277	0,13079
51,	73,765	-12,294	0,13655
51,	72,362	-14,929	0,15519
51,	70,695	-17,406	0,22222
51,	68,783	-19,699	0,32842
51,	66,644	-21,783	0,54058
51,	64,303	-23,636	0,76895
51,	61,784	-25,238	1,1159
51,	59,113	-26,573	1,5615
51,	56,319	-27,626	2,188
51,	53,432	-28,387	2,9317
51,	50,482	-28,846	4,0028
51,	-43,404	-83,379	6,7255e-004
51,	-17,039	-32,731	20,473
51,	-41,207	-79,158	0,11428
51,	-39,01	-74,938	0,2125
51,	-36,813	-70,717	0,30875
51,	-34,616	-66,496	0,3636
51,	-32,419	-62,276	0,45296
51,	-30,221	-58,055	0,55646
51,	-28,024	-53,834	0,65025
51,	-25,827	-49,613	0,78355
51,	-23,63	-45,393	0,8879
51,	-21,433	-41,172	1,3697
51,	-19,236	-36,951	0,4406
51,	5,3602	-36,509	8,0645
51,	-12,82	-34,602	9,3547
51,	-8,4004	-35,931	6,6334
51,	-3,8497	-36,699	6,5302
51,	0,76119	-36,892	6,773
51,	51,858	-29,682	3,7963
51,	47,208	-30,364	6,3648
51,	42,558	-31,047	9,2778
51,	37,909	-31,73	11,714
51,	33,259	-32,413	12,98
51,	28,609	-33,095	13,596
51,	23,959	-33,778	13,339
51,	19,31	-34,461	12,49
51,	14,66	-35,143	11,092
51,	10,01	-35,826	9,707
51,	51,858	29,682	3,7732
51,	56,483	-28,623	2,2669
51,	60,884	-26,849	1,3086
51,	64,95	-24,403	0,71521
51,	68,58	-21,346	0,34511
51,	71,682	-17,755	0,17466
51,	74,179	-13,72	0,11378
51,	76,008	-9,3421	5,3564e-002
51,	77,125	-4,7302	1,4103e-002
51,	77,5	-1,7347e-015	2,0081e-003
51,	77,125	4,7302	1,5736e-002
51,	76,008	9,3421	5,4649e-002
51,	74,179	13,72	0,11228
51,	71,682	17,755	0,16994
51,	68,58	21,346	0,35243
51,	64,95	24,403	0,71589
51,	60,884	26,849	1,324
51,	56,483	28,623	2,2233
51,	5,3602	36,509	7,9576
51,	47,208	30,364	6,4063
51,	42,558	31,047	9,2779
51,	37,909	31,73	11,647
51,	33,259	32,413	13,035
51,	28,609	33,095	13,572
51,	23,959	33,778	13,314
51,	19,31	34,461	12,523
51,	14,66	35,143	11,135
51,	10,01	35,826	9,7175
51,	-17,039	32,731	19,963
51,	0,76119	36,892	6,928
51,	-3,8497	36,699	6,4468
51,	-8,4004	35,931	6,5004
51,	-12,82	34,602	12,282
51,	-43,404	83,379	2,4088e-003
51,	-41,207	79,158	0,11847
51,	-39,01	74,938	0,20964
51,	-36,813	70,717	0,29077
51,	-34,616	66,496	0,38204
51,	-32,419	62,276	0,46706
51,	-30,221	58,055	0,58646
51,	-28,024	53,834	0,66982
51,	-25,827	49,613	0,75554
51,	-23,63	45,393	0,92204
51,	-21,433	41,172	1,3644
51,	-19,236	36,951	-0,27697
51,	-47,675	-81,013	-3,7499e-002
51,	-51,817	-78,428	-0,11893
51,	-55,819	-75,632	-0,19303
51,	-59,671	-72,632	-0,24507
51,	-63,361	-69,436	-0,28948
51,	-66,881	-66,052	-0,30903
51,	-70,22	-62,491	-0,31018
51,	-73,37	-58,761	-0,3016
51,	-76,322	-54,872	-0,27925
51,	-79,068	-50,835	-0,249
51,	-81,601	-46,661	-0,21058
51,	-83,914	-42,362	-0,17206
51,	-86,	-37,948	-0,13933
51,	-87,854	-33,431	-0,10392
51,	-89,471	-28,825	-7,8894e-002
51,	-90,847	-24,14	-5,2167e-002
51,	-91,978	-19,391	-3,5574e-002
51,	-92,861	-14,589	-1,5306e-002
51,	-93,493	-9,748	-9,3433e-003
51,	-93,873	-4,8806	1,8996e-003
51,	-94,	-7,6328e-014	2,721e-004
51,	-93,873	4,8806	1,1358e-003
51,	-93,493	9,748	-7,729e-003
51,	-92,861	14,589	-1,5171e-002
51,	-91,978	19,391	-2,9243e-002
51,	-90,847	24,14	-5,529e-002
51,	-89,471	28,825	-7,3629e-002
51,	-87,854	33,431	-0,10525
51,	-86,	37,948	-0,14106
51,	-83,914	42,362	-0,17182
51,	-81,601	46,661	-0,20712
51,	-79,068	50,835	-0,24555
51,	-76,322	54,872	-0,27488
51,	-73,37	58,761	-0,30142
51,	-70,22	62,491	-0,3107
51,	-66,881	66,052	-0,30789
51,	-63,361	69,436	-0,2877
51,	-59,671	72,632	-0,24486
51,	-55,819	75,632	-0,17965
51,	-51,817	78,428	-0,11878
51,	-47,675	81,013	-3,5028e-002
46,	5,3602	-36,509	5,6384
41,	5,3602	-36,509	3,3185
36,	5,3602	-36,509	1,2158
36,	-17,039	-32,731	19,191
41,	-17,039	-32,731	21,828
46,	-17,039	-32,731	27,974
38,533	51,858	-29,682	0,31025
32,883	42,072	-31,119	-1,8913
34,767	45,334	-30,64	-1,0277
36,65	48,596	-30,161	-0,33235
46,844	51,858	-29,682	3,2376
42,689	51,858	-29,682	2,0075
48,	69,426	-20,476	0,46422
40,615	55,72	-28,852	0,60837
42,635	59,469	-27,509	0,74577
44,562	63,046	-25,658	0,73492
46,363	66,388	-23,308	0,60874
48,	69,426	20,476	0,47546
48,	72,244	-16,963	0,28296
48,	74,504	-13,069	0,14973
48,	76,156	-8,8795	6,2231e-002
48,	77,162	-4,4903	1,9539e-002
48,	77,5	0,	-5,5945e-003
48,	77,162	4,4903	8,2172e-003
48,	76,156	8,8795	7,0189e-002
48,	74,504	13,069	0,15065
48,	72,244	16,963	0,28725
38,533	51,858	29,682	0,30477
46,363	66,388	23,308	0,62526
44,562	63,046	25,658	0,74139
42,635	59,469	27,509	0,75461
40,615	55,72	28,852	0,61779
46,844	51,858	29,682	3,2461
42,689	51,858	29,682	2,0446
36,65	48,596	30,161	-0,2482
34,767	45,334	30,64	-1,0269
32,883	42,072	31,119	-1,9391
46,	5,3602	36,509	5,5318
41,	5,3602	36,509	3,2532
36,	5,3602	36,509	1,2202
46,	-17,039	32,731	25,695
41,	-17,039	32,731	21,055
36,	-17,039	32,731	19,878
46,	-43,404	83,379	1,5728e-002
41,	-43,404	83,379	1,3249e-002
36,	-43,404	83,379	2,1289e-002
46,	-43,404	-83,379	2,0569e-002
41,	-43,404	-83,379	7,433e-003
36,	-43,404	-83,379	1,5987e-002
46,	68,5	-18,52	0,92775
46,	68,5	18,52	1,0676
46,	68,5	-13,89	0,86717
46,	68,5	-9,2601	0,87839
46,	68,5	-4,6301	0,86591
46,	68,5	-1,7347e-015	0,87839
46,	68,5	4,6301	0,84653
46,	68,5	9,2601	0,88218
46,	68,5	13,89	0,88269
46,	71,191	14,924	0,45389
46,	73,273	10,943	0,22857
46,	74,691	6,6805	0,15368
46,	75,41	2,2461	9,1099e-002
46,	75,41	-2,2461	9,4544e-002
46,	74,691	-6,6805	0,14411
46,	73,273	-10,943	0,25973
46,	71,191	-14,924	0,45871
46,138	68,74	-19,348	0,81146
36,801	52,567	-27,703	-0,81945
44,51	65,919	-21,922	0,56429
42,728	62,832	-24,054	0,49478
40,828	59,542	-25,731	0,30934
38,843	56,104	-26,948	-0,11973
31,268	42,983	-29,11	-1,5021
34,957	49,373	-28,172	-1,6151
33,112	46,178	-28,641	-2,1256
31,268	42,983	29,11	-1,4259
31,268	42,983	-24,258	-1,2784
31,268	42,983	-19,407	-1,2287
31,268	42,983	-14,555	-1,5547
31,268	42,983	-9,7034	-1,559
31,268	42,983	-4,8517	-1,806
31,268	42,983	-3,4694e-015	-0,93154
31,268	42,983	4,8517	-2,1006
31,268	42,983	9,7034	-1,3715
31,268	42,983	14,555	-1,2853
31,268	42,983	19,407	-1,3319
31,268	42,983	24,258	-1,3176
36,801	52,567	27,703	-0,88737
33,112	46,178	28,641	-2,0882
34,957	49,373	28,172	-1,6141
46,138	68,74	19,348	0,87729
38,843	56,104	26,948	-0,1476
40,828	59,542	25,731	0,34014
42,728	62,832	24,054	0,51992
44,51	65,919	21,922	0,56732
37,351	52,448	-29,054	-0,53386
37,351	52,448	29,054	-0,5973
53,	47,5	-27,	1,6371
53,	50,47	-26,836	1,3335
53,	53,404	-26,347	1,0458
53,	56,267	-25,537	0,79736
53,	59,023	-24,418	0,76926
53,	61,639	-23,002	0,63893
53,	64,084	-21,307	0,37386
53,	66,327	-19,353	0,55557
53,	68,342	-17,165	0,51937
53,	70,103	-14,768	0,35995
53,	71,591	-12,191	0,28084
53,	72,786	-9,4672	0,26113
53,	73,674	-6,6281	0,30294
53,	74,244	-3,7085	0,26179
53,	74,49	-0,74397	0,20278
53,	74,408	2,2296	0,22239
53,	73,999	5,1762	0,15861
53,	73,269	8,0599	0,31004
53,	72,226	10,846	0,36325
53,	70,883	13,5	0,31512
53,	69,256	15,99	0,43995
53,	67,365	18,287	0,53919
53,	65,232	20,361	0,60897
53,	62,885	22,188	0,57543
53,	60,351	23,746	0,59903
53,	57,66	25,015	0,74231
53,	54,847	25,981	0,88786
53,	51,944	26,632	1,1503
53,	48,987	26,959	1,4073
53,	46,013	26,959	1,6916
53,	43,056	26,632	1,9992
53,	40,153	25,981	2,5751
53,	37,34	25,015	2,9385
53,	34,649	23,746	2,9569
53,	32,115	22,188	3,6841
53,	29,768	20,361	4,7759
53,	27,635	18,287	2,6458
53,	25,744	15,99	3,8613
53,	24,117	13,5	3,597
53,	22,774	10,846	3,3003
53,	21,731	8,0599	2,8367
53,	21,001	5,1762	-0,78733
53,	20,592	2,2296	3,79
53,	20,51	-0,74397	4,4848
53,	20,756	-3,7085	3,0595
53,	21,326	-6,6281	4,0057
53,	22,214	-9,4672	4,6884
53,	23,409	-12,191	4,2266
53,	24,897	-14,768	3,9627
53,	26,658	-17,165	6,9805
53,	28,673	-19,353	3,9771
53,	30,916	-21,307	5,1204
53,	33,361	-23,002	3,4765
53,	35,977	-24,418	2,667
53,	38,733	-25,537	2,6996
53,	41,596	-26,347	2,2454
53,	44,53	-26,836	1,7286
82,	47,5	-27,	1,6621
82,	50,47	-26,836	1,3254
82,	53,404	-26,347	0,95887
82,	56,267	-25,537	0,8235
82,	59,023	-24,418	0,7061
82,	61,639	-23,002	0,67751
82,	64,084	-21,307	0,55224
82,	66,327	-19,353	0,52281
82,	68,342	-17,165	0,4776
82,	70,103	-14,768	0,43211
82,	71,591	-12,191	0,35695
82,	72,786	-9,4672	0,30647
82,	73,674	-6,6281	0,28386
82,	74,244	-3,7085	0,2249
82,	74,49	-0,74397	0,2777
82,	74,408	2,2296	0,27996
82,	73,999	5,1762	0,16249
82,	73,269	8,0599	0,25671
82,	72,226	10,846	0,33853
82,	70,883	13,5	0,37968
82,	69,256	15,99	0,56733
82,	67,365	18,287	0,50402
82,	65,232	20,361	0,508
82,	62,885	22,188	0,62188
82,	60,351	23,746	0,65323
82,	57,66	25,015	0,8282
82,	54,847	25,981	0,9362
82,	51,944	26,632	1,2599
82,	48,987	26,959	1,51
82,	46,013	26,959	1,879
82,	43,056	26,632	2,1306
82,	40,153	25,981	2,3272
82,	37,34	25,015	2,8264
82,	34,649	23,746	2,9729
82,	32,115	22,188	3,2805
82,	29,768	20,361	5,6933
82,	27,635	18,287	3,9039
82,	25,744	15,99	3,9627
82,	24,117	13,5	2,7411
82,	22,774	10,846	3,2495
82,	21,731	8,0599	5,1585
82,	21,001	5,1762	4,4233
82,	20,592	2,2296	5,9343
82,	20,51	-0,74397	2,1685
82,	20,756	-3,7085	-1,2971
82,	21,326	-6,6281	0,44884
82,	22,214	-9,4672	3,3846
82,	23,409	-12,191	4,683
82,	24,897	-14,768	2,9915
82,	26,658	-17,165	6,171
82,	28,673	-19,353	3,8721
82,	30,916	-21,307	4,2279
82,	33,361	-23,002	4,0681
82,	35,977	-24,418	3,2501
82,	38,733	-25,537	2,722
82,	41,596	-26,347	2,2306
82,	44,53	-26,836	1,88
122,5	16,612	-29,551	0,57186
121,02	18,112	-28,656	-0,26925
119,5	16,642	-29,534	-1,728
120,98	15,112	-30,345	0,2309
122,1	17,629	-28,956	-2,3861
119,92	17,652	-28,942	1,9329
119,89	15,605	-30,095	-2,1734
122,09	15,581	-30,107	1,3033
122,5	16,612	29,551	0,96084
120,98	15,112	30,345	-0,4922
119,5	16,642	29,534	-1,44
121,02	18,112	28,656	0,473
122,09	15,581	30,107	1,8064
119,89	15,604	30,095	-2,1148
119,92	17,652	28,942	1,8889
122,1	17,629	28,956	-1,8517
106,	-4,1516e-015	-33,9	0,32084
106,	-2,9961	-33,767	-0,31725
106,	-5,9687	-33,37	-1,5748
106,	-8,8946	-32,712	-2,1134
106,	-11,751	-31,798	-1,9423
106,	-14,515	-30,635	-4,7358
106,	-17,166	-29,232	-3,3112
106,	-19,682	-27,601	-4,6416
106,	-22,045	-25,753	-4,7522
106,	-24,235	-23,704	-5,0618
106,	-26,235	-21,47	-4,9839
106,	-28,03	-19,067	-6,3804
106,	-29,605	-16,515	-5,2194
106,	-30,949	-13,834	-8,1207
106,	-32,05	-11,045	-5,6727
106,	-32,901	-8,1688	-2,4238
106,	-33,494	-5,229	-4,4283
106,	-33,825	-2,2483	-6,2975
106,	-33,892	0,74994	-5,0292
106,	-33,693	3,7424	-3,5773
106,	-33,23	6,7055	-8,3808
106,	-32,508	9,6161	-3,6842
106,	-31,53	12,452	-3,1054
106,	-30,307	15,189	-4,4163
106,	-28,846	17,809	-6,0629
106,	-27,159	20,288	-3,6515
106,	-25,259	22,609	-6,3874
106,	-23,162	24,753	-4,7048
106,	-20,884	26,703	-3,7665
106,	-18,442	28,445	-4,7519
106,	-15,856	29,963	-4,8831
106,	-13,146	31,247	-1,9873
106,	-10,333	32,287	-2,0261
106,	-7,439	33,074	-2,9871
106,	-4,4868	33,602	-1,0016
106,	-1,4995	33,867	0,32367
106,	1,4995	33,867	0,30897
106,	4,4868	33,602	-4,034e-002
106,	7,439	33,074	-0,25311
106,	10,333	32,287	-0,67604
106,	13,146	31,247	-1,0876
106,	15,856	29,963	-1,7491
106,	18,442	28,445	-2,2357
106,	20,884	26,703	-3,56
106,	23,162	24,753	-3,6129
106,	25,259	22,609	-5,0655
106,	27,159	20,288	-3,202
106,	28,846	17,809	-4,5375
106,	30,307	15,189	-3,7071
106,	31,53	12,452	-2,981
106,	32,508	9,6161	-4,049
106,	33,23	6,7055	-2,4088
106,	33,693	3,7424	-3,2632
106,	33,892	0,74994	-3,8773
106,	33,825	-2,2483	-2,8623
106,	33,494	-5,229	-3,231
106,	32,901	-8,1688	-4,1955
106,	32,05	-11,045	-4,5594
106,	30,949	-13,834	-4,084
106,	29,605	-16,515	-5,4954
106,	28,03	-19,067	-4,4258
106,	26,235	-21,47	-2,5126
106,	24,235	-23,704	-3,9521
106,	22,045	-25,753	-3,4533
106,	19,682	-27,601	-2,5687
106,	17,166	-29,232	-1,8675
106,	14,515	-30,635	-1,5248
106,	11,751	-31,798	-1,0753
106,	8,8946	-32,712	-0,5176
106,	5,9687	-33,37	-0,27959
106,	2,9961	-33,767	0,1933
135,	4,1516e-015	-33,9	-1,1545
