X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
51,	40,233	31,388	10,462
51,	43,721	30,876	8,5174
47,413	44,649	30,74	6,6679
46,471	41,274	31,236	6,7211
49,776	41,276	29,41	8,5126
49,759	43,43	29,322	7,3612
51,	35,584	32,071	12,341
46,471	38,949	31,577	7,9057
48,168	36,592	29,563	9,2994
49,776	38,951	29,751	9,6972
51,	30,934	32,754	13,304
51,	31,271	30,362	13,922
46,471	36,625	31,918	8,5998
46,	31,095	32,73	8,531
48,168	34,267	29,904	9,9934
49,853	33,369	29,448	12,062
49,136	30,647	31,237	11,545
51,	26,284	33,437	13,443
51,	28,946	30,703	14,191
46,	28,77	33,072	8,7997
49,136	28,322	31,578	11,814
51,	21,634	34,119	12,919
51,	23,568	29,763	14,378
51,	26,621	31,045	14,062
46,	26,445	33,413	8,6707
48,005	21,845	34,088	10,098
49,136	25,997	31,919	11,685
51,	16,985	34,802	11,829
51,	21,243	30,104	13,982
51,	17,237	31,135	12,884
48,005	19,52	34,43	9,702
51,	12,335	35,485	10,426
51,	14,912	31,476	12,19
47,25	12,948	35,395	8,1368
48,005	17,195	34,771	9,0083
48,5	7,6851	36,167	7,6247
51,	8,5396	32,9	10,385
51,	12,587	31,818	11,481
47,25	10,623	35,736	7,4279
51,	-14,958	33,732	16,123
51,	-18,137	34,841	9,8432
48,5	-17,039	32,731	22,829
51,	-17,039	27,276	14,955
51,	-13,271	29,482	16,191
51,	-20,068	30,103	14,901
51,	-21,071	34,415	13,272
48,714	-19,616	32,73	15,501
48,782	-17,1	29,741	14,824
51,	-1,5473	36,868	6,6874
48,5	3,0667	36,772	6,2299
49,078	-1,0128	36,886	5,8767
47,489	0,91835	36,889	5,4601
51,	-0,21596	31,961	9,3226
51,	3,9152	33,433	8,9898
51,	-2,3322	34,43	8,7558
48,658	-0,34846	34,948	7,0742
51,	-6,1371	36,386	6,4736
49,078	-3,3175	36,751	5,6361
48,333	-5,428	36,499	5,5264
51,	-4,6377	34,333	8,5152
48,658	-2,6539	34,852	6,8336
51,	-10,631	35,335	9,391
48,479	-9,9379	35,537	5,3668
48,333	-7,6997	36,088	5,5532
51,	-6,913	33,949	8,542
48,028	-8,8251	33,432	7,9735
48,5	-14,958	33,732	18,988
48,479	-12,141	34,846	8,2574
51,	-11,162	30,417	12,351
51,	-9,1227	33,285	11,433
48,782	-14,991	30,677	10,983
48,028	-11,035	32,768	10,864
51,	-42,306	81,269	6,0441e-002
51,	-45,555	82,224	-1,6309e-002
48,5	-43,404	83,379	9,0684e-003
51,	-40,109	77,048	0,16406
51,	-44,441	80,086	4,1723e-002
48,5	-42,306	81,269	6,7101e-002
51,	-43,152	75,821	0,12772
46,	-40,383	77,576	0,16071
47,451	-43,483	78,559	8,8941e-002
51,	-37,911	72,827	0,2502
51,	-42,054	73,71	0,17331
46,	-39,285	75,465	0,20629
51,	-35,714	68,607	0,3364
51,	-40,565	66,6	0,40878
51,	-40,955	71,6	0,21387
46,	-36,264	69,662	0,3283
46,	-38,186	73,355	0,24686
47,073	-41,16	69,465	0,3003
51,	-33,517	64,386	0,42455
51,	-39,466	64,489	0,45441
51,	-35,445	62,461	0,52975
46,	-35,165	67,551	0,37394
46,	-33,517	64,386	0,43828
47,073	-40,061	67,355	0,34594
47,911	-35,673	62,467	0,55859
51,	-31,32	60,165	0,52676
51,	-34,346	60,35	0,57226
46,	-32,419	62,276	0,48079
47,911	-34,575	60,357	0,6011
51,	-29,123	55,945	0,62814
51,	-33,248	58,24	0,63196
51,	-31,75	54,894	0,86739
46,	-29,672	57,	0,57623
46,	-31,32	60,165	0,54049
47,911	-33,476	58,246	0,6608
51,	-26,926	51,724	0,71268
51,	-30,651	52,783	0,90907
46,	-28,574	54,889	0,61791
46,	-26,926	51,724	0,66661
48,773	-29,562	51,619	1,0122
51,	-24,729	47,503	0,83879
51,	-28,935	46,728	1,6925
51,	-29,553	50,673	0,95192
46,	-25,827	49,613	0,70947
48,773	-28,463	49,509	1,055
51,	-22,531	43,282	1,1432
51,	-27,837	44,618	1,7757
46,	-23,081	44,338	0,83882
46,	-24,729	47,503	0,79273
48,773	-27,365	47,398	1,1383
46,467	-26,905	41,935	2,6617
51,	-20,334	39,062	0,54373
51,	-26,738	42,507	1,9969
51,	-23,268	38,635	3,9726
46,	-21,982	42,227	1,06
47,875	-20,472	39,326	0,98765
46,467	-25,806	39,825	2,8829
48,5	-18,137	34,841	12,709
51,	-22,17	36,525	3,1519
47,875	-19,373	37,215	0,16694
48,714	-20,714	34,841	5,3808
51,	-49,763	-79,748	-7,8214e-002
48,5	-45,555	-82,224	-8,4649e-003
48,932	-48,604	-80,459	-4,5262e-002
51,	-47,621	-77,176	1,2226e-002
48,741	-45,896	-77,987	5,133e-002
51,	-53,836	-77,056	-0,15598
48,932	-50,677	-79,17	-8,5976e-002
49,666	-53,172	-77,516	-0,13425
51,	-49,692	-75,883	-2,8488e-002
48,602	-51,697	-75,185	-3,0537e-002
51,	-57,764	-74,157	-0,21905
49,666	-55,167	-76,109	-0,1713
48,528	-56,544	-75,091	-0,19672
51,	-54,562	-70,878	1,4774e-002
51,	-51,693	-74,485	-6,554e-002
48,602	-53,698	-73,787	-6,7589e-002
51,	-61,537	-71,058	-0,26727
48,546	-60,926	-71,582	-0,25569
48,528	-58,475	-73,598	-0,22274
51,	-56,488	-69,378	-1,1246e-002
48,446	-59,532	-70,296	-0,13924
48,602	-55,624	-72,287	-9,3609e-002
51,	-65,143	-67,767	-0,29925
48,546	-62,764	-69,976	-0,27789
48,555	-64,367	-68,505	-0,2946
51,	-58,333	-67,78	-3,3448e-002
51,	-61,998	-64,455	5,614e-002
48,446	-61,378	-68,698	-0,16144
51,	-68,574	-64,293	-0,3096
48,627	-68,126	-64,768	-0,31317
48,555	-66,124	-66,81	-0,30438
51,	-63,758	-62,763	4,6363e-002
47,881	-66,01	-63,729	-0,11836
48,446	-63,137	-67,006	-0,17122
51,	-71,82	-60,646	-0,30589
48,627	-69,785	-62,977	-0,31374
48,557	-71,125	-61,459	-0,31103
51,	-68,807	-57,992	9,1511e-002
51,	-65,427	-60,982	4,5789e-002
48,45	-70,106	-60,161	-0,15215
47,881	-67,68	-61,948	-0,11893
51,	-74,871	-56,835	-0,29042
48,631	-74,475	-57,354	-0,29234
48,557	-72,697	-59,591	-0,30674
51,	-70,382	-56,127	9,5801e-002
48,45	-71,681	-58,296	-0,14786
51,	-77,721	-52,871	-0,26412
48,631	-75,94	-55,4	-0,28116
48,557	-77,115	-53,752	-0,27317
51,	-71,858	-54,183	0,10698
51,	-73,375	-49,749	0,35345
48,842	-76,911	-50,791	-4,4355e-002
47,662	-74,764	-53,447	-4,7969e-002
51,	-80,362	-48,765	-0,22979
48,631	-80,021	-49,321	-0,23834
48,557	-78,485	-51,731	-0,25804
51,	-74,748	-47,73	0,36857
51,	-77,968	-46,607	0,15127
48,842	-78,284	-48,773	-2,9231e-002
