X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
82,	32,115	-22,188	4,7021
82,758	30,234	-20,952	12,368
82,756	31,518	-21,945	10,895
79,997	31,51	-21,756	2,0813
83,098	30,737	-19,422	7,7512
81,4	33,	-21,015	3,4981
80,839	30,799	-19,214	3,6255
82,93	32,086	-20,483	6,4411
82,	34,649	-23,746	4,2292
83,411	33,498	-23,764	12,29
82,756	32,751	-22,792	10,832
82,747	34,195	-23,66	8,983
79,997	32,732	-22,603	2,0184
79,793	34,898	-23,879	1,7188
83,423	33,692	-22,865	7,6098
81,4	34,222	-21,862	3,4353
