43,032	63,359	-1,837e-016	-3,9619e-002
42,282	62,06	-1,5	6,1046e-002
41,532	60,761	2,7733e-032	1,2124e-002
42,282	62,06	1,5	-6,8197e-002
42,812	62,978	-1,0607	0,77222
41,751	61,141	-1,0607	-0,50739
41,751	61,141	1,0607	0,52939
42,812	62,978	1,0607	-0,74064
121,75	17,911	0,	1,6855e-002
120,25	15,313	0,	-5,225e-003
119,7	17,362	1,5	0,31115
120,73	18,088	0,96898	-0,60155
119,59	16,105	0,96898	-0,9321
119,7	17,362	-1,5	0,14516
119,59	16,105	-0,96898	1,0134
120,73	18,088	-0,96898	0,67828
29,	-4,1516e-015	-33,9	0,14299
29,	-2,9961	-33,767	-0,51942
29,	-5,9687	-33,37	-0,5257
29,	-8,8946	-32,712	-0,82186
29,	-11,751	-31,798	-1,1882
29,	-14,515	-30,635	-0,928
29,	-17,166	-29,232	-1,495
29,	-19,682	-27,601	-0,63128
29,	-22,045	-25,753	-0,97235
29,	-24,235	-23,704	-1,9932
29,	-26,235	-21,47	-0,25561
29,	-28,03	-19,067	-1,29
29,	-29,605	-16,515	-0,70248
29,	-30,949	-13,834	-1,2564
29,	-32,05	-11,045	0,13239
29,	-32,901	-8,1688	-0,28175
29,	-33,494	-5,229	-8,9059e-002
29,	-33,825	-2,2483	-4,2689e-002
29,	-33,892	0,74994	-0,12993
29,	-33,693	3,7424	0,22202
29,	-33,23	6,7055	0,60039
29,	-32,508	9,6161	2,2811e-002
29,	-31,53	12,452	1,1156
29,	-30,307	15,189	0,50426
29,	-28,846	17,809	0,4375
29,	-27,159	20,288	0,66449
29,	-25,259	22,609	1,2691
29,	-23,162	24,753	1,3516
29,	-20,884	26,703	1,2409
29,	-18,442	28,445	2,3107
29,	-15,856	29,963	0,96796
29,	-13,146	31,247	1,41
29,	-10,333	32,287	0,38258
29,	-7,439	33,074	0,71549
29,	-4,4868	33,602	0,74158
29,	-1,4995	33,867	-7,1389e-002
29,	1,4995	33,867	-0,11808
29,	4,4868	33,602	-4,9868e-002
29,	7,439	33,074	-4,7591e-002
29,	10,333	32,287	3,4534e-003
29,	13,146	31,247	0,20234
29,	15,856	29,963	0,3791
29,	18,442	28,445	0,79942
29,	20,884	26,703	0,75554
29,	23,162	24,753	1,5083
